Año;Mes;Centro;Visitantes;fecha
2022;Enero;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;2342;2022-01
2022;Enero;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);2825;2022-01
2022;Enero;PALACIO DE QUINTANAR;1211;2022-01
2022;Enero;CENTRO CULTURAL MIGUEL DELIBES (programación propia);4454;2022-01
2022;Enero;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;1286;2022-01
2022;Enero;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);2056;2022-01
2022;Enero;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);11629;2022-01
2022;Enero;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2167;2022-01
2022;Febrero;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);20101;2022-02
2022;Febrero;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);2010;2022-02
2022;Febrero;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;2363;2022-02
2022;Febrero;PALACIO DE QUINTANAR;1031;2022-02
2022;Febrero;CENTRO CULTURAL MIGUEL DELIBES (programación propia);9447;2022-02
2022;Febrero;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;3569;2022-02
2022;Febrero;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);4160;2022-02
2022;Febrero;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2310;2022-02
2022;Marzo;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;9653;2022-03
2022;Marzo;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);5490;2022-03
2022;Marzo;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2536;2022-03
2022;Marzo;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);25898;2022-03
2022;Marzo;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);2981;2022-03
2022;Marzo;PALACIO DE QUINTANAR;1519;2022-03
2022;Marzo;CENTRO CULTURAL MIGUEL DELIBES (programación propia);5407;2022-03
2022;Marzo;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;8843;2022-03
2022;Abril;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);38099;2022-04
2022;Abril;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;17451;2022-04
2022;Abril;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;18914;2022-04
